;car_brand;car_model;car_price;car_city;car_fuel;car_transmission;car_drive;car_mileage;car_country;car_engine_capacity;car_engine_hp;car_age
0;Ford;Focus    ;550000;Astrakhan;gasoline;manual;FWD;300000;USA;1.8;125;14
1;Mercedes-Benz;GLA-Class    ;1820000;Astrakhan;gasoline;robot;FWD;88000;DE;1.6;156;10
2;Haval;F7    ;2600000;Astrakhan;gasoline;robot;4WD;19000;CN;1.5;150;2
3;Toyota;Camry    ;4200000;Astrakhan;gasoline;automatic;FWD;30000;JP;3.5;249;2
4;OMODA;C5    ;2125000;Astrakhan;gasoline;CVT;FWD;18824;CN;1.5;147;2
5;Mercedes-Benz;E-Class    ;3779999;Astrakhan;gasoline;automatic;4WD;125000;DE;2.0;184;6
6;Toyota;RAV4    ;2539000;Astrakhan;gasoline;CVT;FWD;68023;JP;2.0;146;9
7;Ford;Focus    ;555000;Astrakhan;gasoline;manual;FWD;261000;USA;1.8;125;18
8;Honda;Civic    ;455000;Astrakhan;gasoline;automatic;FWD;250000;JP;1.5;105;22
9;Kia;Rio X (X-Line)  ;1950000;Astrakhan;gasoline;automatic;FWD;40000;KR;1.6;123;5
10;Hyundai;Tucson    ;3490000;Astrakhan;diesel;automatic;4WD;8300;KR;2.0;186;3
11;Hyundai;Trajet    ;830000;Astrakhan;gasoline;automatic;FWD;299000;KR;2.0;140;19
12;Toyota;Corolla    ;1455000;Astrakhan;gasoline;CVT;FWD;143702;JP;1.6;122;10
13;Renault;Duster    ;1595000;Astrakhan;gasoline;manual;4WD;112067;FR;2.0;143;6
14;Kia;Ceed    ;1315000;Astrakhan;gasoline;manual;FWD;147166;KR;1.6;130;11
15;Opel;Astra GTC   ;980000;Astrakhan;gasoline;manual;FWD;225000;DE;1.6;180;12
16;Kia;Soul    ;1800000;Astrakhan;gasoline;automatic;FWD;113901;KR;1.6;131;8
17;Great;Wall Hover H5  ;590000;Astrakhan;diesel;manual;4WD;121000;CN;2.0;143;11
18;Toyota;Auris    ;1100000;Astrakhan;gasoline;automatic;FWD;220000;JP;1.6;124;13
19;Infiniti;QX70    ;3650000;Astrakhan;gasoline;automatic;4WD;68888;JP;3.7;333;9
20;Audi;A6    ;4000000;Astrakhan;hybrid;robot;FWD;99000;DE;2.0;204;5
21;Volkswagen;Polo    ;1200000;Astrakhan;gasoline;manual;FWD;79000;DE;1.6;90;4
22;Hyundai;ix35    ;1249900;Astrakhan;gasoline;automatic;4WD;195000;KR;2.0;150;13
23;Toyota;RAV4    ;1950000;Astrakhan;gasoline;manual;FWD;98501;JP;2.0;146;10
24;Hyundai;Elantra    ;1960000;Astrakhan;gasoline;automatic;FWD;75000;KR;1.6;128;4
25;GAZ;21 Volga   ;490000;Astrakhan;gasoline;manual;RWD;59000;RUS;2.4;75;60
26;Toyota;Corolla    ;2700000;Astrakhan;gasoline;automatic;FWD;61;JP;1.2;116;2
27;GAZ;21 Volga   ;470000;Yekaterinburg;gasoline;manual;RWD;9300;RUS;2.4;75;59
28;Mercedes-Benz;E-Class    ;430000;Astrakhan;gasoline;automatic;RWD;44378;DE;3.2;224;26
29;Kia;Rio X (X-Line)  ;1699000;Astrakhan;gasoline;automatic;FWD;80000;KR;1.6;123;6
30;GAZ;21 Volga   ;400000;Irkutsk;gasoline;manual;RWD;100000;RUS;2.4;75;57
31;GAZ;21 Volga   ;700000;Krasnoyarsk;gasoline;manual;RWD;79489;RUS;2.4;70;65
32;GAZ;21 Volga   ;2499000;Rostov-on-Don;gasoline;manual;RWD;1000;RUS;2.4;75;60
33;Peugeot;308;530000;Astrakhan;gasoline;manual;FWD;150600;FR;1.6;120;14
34;GAZ;21 Volga   ;150000;Samara;gasoline;manual;RWD;90000;RUS;2.4;75;56
35;GAZ;21 Volga   ;600000;Samara;gasoline;manual;RWD;68663;RUS;2.4;75;60
36;Toyota;RAV4    ;1380008;Astrakhan;gasoline;automatic;4WD;220000;JP;2.0;152;18
37;Hyundai;ix35    ;1650000;Astrakhan;gasoline;automatic;FWD;140000;KR;2.0;150;10
38;Kia;Rio    ;1200000;Astrakhan;gasoline;manual;FWD;92000;KR;1.4;107;7
39;Kia;Sportage    ;2100000;Astrakhan;gasoline;automatic;FWD;88400;KR;2.0;150;8
